City,Sales,Profit,Profit_Margin_%,Orders,Quantity,Avg_Discount_%,Top_Category,Top_Sub_Category,Top_Products,Worst_Product,Likely_Reason
Lagos,17185.329,-25922.511,-150.84093531174176,150,733,70.0,Technology,Phones,"Breville Microwave, Red, Hamilton Beach Stove, Silver, Bevis Training Table, Fully Assembled","Breville Microwave, Red",average discount is high (70.0%); overall profit margin is negative
Istanbul,21892.572,-19960.908,-91.17662374251869,154,700,60.0,Furniture,Bookcases,"Harbour Creations Executive Leather Armchair, Adjustable, Harbour Creations Swivel Stool, Adjustable, Dania Library with Doors, Mobile","Harbour Creations Swivel Stool, Adjustable",average discount is high (60.0%); overall profit margin is negative; mix is concentrated in low-margin sub-category Bookcases
Tegucigalpa,48048.90392,-15007.416079999999,-31.233628357031623,178,1334,40.67127071823205,Furniture,Bookcases,"Cuisinart Refrigerator, Black, Safco Library with Doors, Traditional, Canon Wireless Fax, Laser","Cuisinart Refrigerator, Black",average discount is high (40.7%); overall profit margin is negative; mix is concentrated in low-margin sub-category Bookcases
Philadelphia,109077.013,-13837.7674,-12.686236099992948,265,1981,32.68156424581006,Technology,Phones,"Canon imageCLASS 2200 Advanced Copier, Martin Yale Chadless Opener Electric Letter Opener, HON 5400 Series Task Chairs for Big and Tall","Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",average discount is high (32.7%); overall profit margin is negative
Lahore,33772.248,-13626.372,-40.34783826057418,50,414,43.727272727272734,Technology,Phones,"Apple Smart Phone, Full Size, Samsung Smart Phone, VoIP, SAFCO Executive Leather Armchair, Red","Apple Smart Phone, Full Size",average discount is high (43.7%); overall profit margin is negative
Stockholm,17499.66,-11632.89,-66.47494865614532,58,429,50.806451612903224,Office Supplies,Bookcases,"Sauder Classic Bookcase, Metal, KitchenAid Refrigerator, Black, Barricks Conference Table, Adjustable Height","Sauder Classic Bookcase, Metal",average discount is high (50.8%); overall profit margin is negative; mix is concentrated in low-margin sub-category Bookcases
Manila,120886.9485,-11158.5615,-9.23057587147218,206,1661,34.79166666666667,Furniture,Chairs,"Office Star Executive Leather Armchair, Black, Hoover Stove, Silver, Panasonic Inkjet, White","Lesro Wood Table, Rectangular",average discount is high (34.8%); overall profit margin is negative
Kano,7951.869,-10916.211,-137.2785567770294,51,254,70.0,Furniture,Chairs,"SAFCO Executive Leather Armchair, Black, Hamilton Beach Stove, White, Harbour Creations Executive Leather Armchair, Adjustable","Hamilton Beach Stove, White",average discount is high (70.0%); overall profit margin is negative
Hanover,11995.065,-10440.164999999999,-87.03716903576594,27,175,53.414634146341456,Technology,Phones,"Apple Smart Phone, with Caller ID, Hamilton Beach Stove, Black, Nokia Smart Phone, Full Size","Bevis Conference Table, Fully Assembled",average discount is high (53.4%); overall profit margin is negative
Toulouse,12544.138500000001,-10382.2215,-82.76552032648554,34,280,55.633802816901415,Furniture,Bookcases,"Memorex Router, USB, Bush Library with Doors, Mobile, Ikea Classic Bookcase, Metal","Memorex Router, USB",average discount is high (55.6%); overall profit margin is negative; mix is concentrated in low-margin sub-category Bookcases
