State,Sales,Profit,Profit_Margin_%,Orders,Quantity,Avg_Discount_%,Top_Category,Top_Sub_Category,Top_Products,Worst_Product,Likely_Reason
Istanbul,31037.46,-29033.7,-93.54405933990732,202,930,59.999999999999986,Furniture,Chairs,"Office Star Executive Leather Armchair, Adjustable, Harbour Creations Executive Leather Armchair, Adjustable, Office Star Swivel Stool, Adjustable","Office Star Executive Leather Armchair, Adjustable",average discount is high (60.0%); overall profit margin is negative
Lagos,17185.329,-25922.511,-150.84093531174176,150,733,70.0,Technology,Phones,"Breville Microwave, Red, Hamilton Beach Stove, Silver, Bevis Training Table, Fully Assembled","Breville Microwave, Red",average discount is high (70.0%); overall profit margin is negative
Texas,170188.0458,-25729.3563,-15.118192455324614,487,3724,37.019289340101516,Technology,Phones,"Lexmark MX611dhe Monochrome Laser Printer, High Speed Automatic Electric Letter Opener, HON 5400 Series Task Chairs for Big and Tall",GBC DocuBind P400 Electric Binding System,average discount is high (37.0%); overall profit margin is negative
Ohio,78258.136,-16971.3766,-21.68640535982099,236,1759,32.49466950959489,Technology,Phones,"Cubify CubeX 3D Printer Double Head Print, Samsung Galaxy S III - 16GB - pebble blue (T-Mobile), Plantronics Savi W720 Multi-Device Wireless Headset System",Cubify CubeX 3D Printer Double Head Print,average discount is high (32.5%); overall profit margin is negative
Izmir,15161.916,-15729.804,-103.74548968613202,59,307,59.99999999999998,Technology,Phones,"Motorola Smart Phone, Cordless, SAFCO Executive Leather Armchair, Adjustable, Samsung Audio Dock, with Caller ID","Motorola Smart Phone, Cordless",average discount is high (60.0%); overall profit margin is negative
Pennsylvania,116511.914,-15559.9603,-13.354823353086449,288,2153,32.862010221465084,Technology,Phones,"Canon imageCLASS 2200 Advanced Copier, Martin Yale Chadless Opener Electric Letter Opener, HON 5400 Series Task Chairs for Big and Tall",GBC Ibimaster 500 Manual ProClick Binding System,average discount is high (32.9%); overall profit margin is negative
Francisco Morazán,48048.90392,-15007.416079999999,-31.233628357031623,178,1334,40.67127071823205,Furniture,Bookcases,"Cuisinart Refrigerator, Black, Safco Library with Doors, Traditional, Canon Wireless Fax, Laser","Cuisinart Refrigerator, Black",average discount is high (40.7%); overall profit margin is negative; mix is concentrated in low-margin sub-category Bookcases
Panama,41490.18064,-14978.49936,-36.10131151263168,172,1198,40.75076923076922,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Black, Ikea Classic Bookcase, Pine, Dania Classic Bookcase, Mobile","Bevis Wood Table, with Bottom Storage",average discount is high (40.8%); overall profit margin is negative
Punjab,60069.99,-14665.050000000001,-24.4132719183073,109,838,36.2780269058296,Technology,Phones,"Apple Smart Phone, Full Size, Samsung Smart Phone, VoIP, SAFCO Executive Leather Armchair, Red","Apple Smart Phone, Full Size",average discount is high (36.3%); overall profit margin is negative
Stockholm,21589.749,-13806.441,-63.949057490200566,74,561,50.78431372549019,Office Supplies,Appliances,"Sauder Classic Bookcase, Metal, KitchenAid Refrigerator, Black, Barricks Conference Table, Adjustable Height","Sauder Classic Bookcase, Metal",average discount is high (50.8%); overall profit margin is negative
