Product_Name,Sales,Profit,Avg_Discount_%
"Apple Smart Phone, Full Size",86935.7786,5921.578600000001,10.666666666666668
"Cisco Smart Phone, Full Size",76441.5306,17238.5206,5.447368421052631
"Motorola Smart Phone, Full Size",73156.303,17027.113,14.763157894736842
"Nokia Smart Phone, Full Size",71904.5555,9938.195500000002,14.446808510638299
Canon imageCLASS 2200 Advanced Copier,61599.824,25199.928,12.000000000000002
"Hon Executive Leather Armchair, Adjustable",58193.4841,5997.2541,16.551020408163264
"Office Star Executive Leather Armchair, Adjustable",50661.684,4710.9839999999995,14.377777777777778
"Harbour Creations Executive Leather Armchair, Adjustable",50121.516,10427.326,17.897435897435898
"Samsung Smart Phone, Cordless",48653.46,-198.08999999999992,12.53846153846154
"Nokia Smart Phone, with Caller ID",47877.7857,9465.3257,14.75
"Samsung Smart Phone, VoIP",45406.328,3903.8579999999997,12.17391304347826
"Cisco Smart Phone, with Caller ID",43127.5008,9786.640800000001,14.703703703703704
"SAFCO Executive Leather Armchair, Black",41923.53,7154.28,16.392857142857142
"Cisco Smart Phone, Cordless",41021.524,4020.8239999999996,25.0
"Novimex Executive Leather Armchair, Adjustable",40585.1336,5562.3535999999995,14.58974358974359
"Sauder Classic Bookcase, Traditional",39108.303,10672.073,11.89655172413793
"Motorola Smart Phone, Cordless",38931.042,-4447.0380000000005,11.826086956521738
"Novimex Executive Leather Armchair, Red",38814.802,1450.3719999999998,19.357142857142858
"Eldon File Cart, Single Width",34387.7287,4238.8887,9.8
"Hoover Stove, White",32842.6043,-2180.6257000000005,13.444444444444445
"Harbour Creations Executive Leather Armchair, Black",32230.7392,3240.1492,20.791666666666668
"Hoover Stove, Red",31663.779,11807.969,6.666666666666667
"Motorola Smart Phone, with Caller ID",30243.549,3943.8089999999997,9.230769230769234
"Hewlett Copy Machine, Color",29709.1932,2103.4432,20.862222222222222
"Rogers File Cart, Single Width",29466.3053,2394.8953,19.357142857142858
"Office Star Executive Leather Armchair, Black",29421.602300000002,1898.2523,15.545454545454545
"Hon Executive Leather Armchair, Black",29244.7696,438.91959999999995,15.75
"Smead Lockers, Industrial",28991.664,3630.444,12.121951219512194
"Hamilton Beach Stove, Silver",28657.049,5989.749,16.666666666666664
"Novimex Executive Leather Armchair, Black",28629.5075,2291.2175,11.64
"Bush Library with Doors, Metal",28516.7142,719.3542,11.043478260869566
"Rogers Lockers, Blue",28214.5892,-2893.4908,14.357142857142858
"Safco Classic Bookcase, Mobile",27696.1095,1451.1095000000003,17.875
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,27453.384,7753.039,24.000000000000004
"Safco Library with Doors, Pine",27263.7618,3360.8318,14.719999999999999
"Apple Smart Phone, Cordless",27163.646999999997,5450.217,13.600000000000001
"Canon Wireless Fax, Color",26585.7144,2615.2344,17.228571428571428
"Bush Classic Bookcase, Traditional",26535.324,2821.614,9.090909090909092
"Samsung Smart Phone, with Caller ID",26311.164,6392.614,6.133333333333334
"Safco Classic Bookcase, Traditional",26230.579999999998,2073.48,16.0
"Brother Copy Machine, Color",26226.93006,6520.05006,11.879069767441859
"Nokia Smart Phone, Cordless",25658.05,5639.89,10.416666666666668
"SAFCO Executive Leather Armchair, Red",25640.127,-1833.1729999999998,16.19047619047619
"Dania Classic Bookcase, Pine",25630.494599999998,6565.0146,13.5
"Smead File Cart, Single Width",25397.1708,-237.66920000000002,16.961038961038962
"Safco Classic Bookcase, Metal",25276.353600000002,5416.1536,15.350000000000003
"Office Star Executive Leather Armchair, Red",25213.988,4677.078,10.882352941176471
"Ikea Classic Bookcase, Metal",25055.0253,735.5253000000001,15.521739130434781
"Smead Lockers, Blue",24776.044,610.2640000000001,20.743589743589745
"SAFCO Executive Leather Armchair, Adjustable",24210.4384,-862.1816000000002,16.30769230769231
"Sauder Classic Bookcase, Pine",24075.567,4267.767,11.59090909090909
"Brother Wireless Fax, Laser",23905.18386,4000.64386,17.44
"Hewlett Wireless Fax, High-Speed",23810.56914,8677.93914,4.2272727272727275
"Bush Classic Bookcase, Metal",23540.063000000002,5871.783,17.26086956521739
"Harbour Creations Executive Leather Armchair, Red",23517.0012,5252.4412,13.904761904761903
"Belkin Router, USB",23470.408,8955.018,9.6875
"Hewlett Wireless Fax, Color",23265.94574,5054.20574,14.30909090909091
"Sauder Classic Bookcase, Metal",23194.97,4043.45,13.333333333333334
"Okidata Inkjet, Wireless",23004.301199999998,3314.9512,14.69230769230769
"Ikea Classic Bookcase, Traditional",22751.9325,5367.1725,7.9523809523809526
Cisco TelePresence System EX90 Videoconferencing Unit,22638.48,-1811.0784,50.0
"Fellowes Lockers, Industrial",22637.436,3339.036,12.913043478260871
"Ikea Library with Doors, Pine",22536.0688,-277.95119999999986,26.321428571428573
"Brother Fax Machine, High-Speed",22431.5268,4160.9268,2.6699999999999995
"Canon Fax Machine, High-Speed",22340.48994,2011.5899399999998,6.963636363636364
"HP Copy Machine, Color",22297.32146,6099.5014599999995,12.318918918918918
"Tenex File Cart, Single Width",22113.8622,3952.6122,13.871428571428574
"Fellowes Lockers, Single Width",22090.752,588.7019999999999,13.5
"Hewlett Wireless Fax, Digital",22045.3332,5883.1932,7.1000000000000005
"KitchenAid Stove, Silver",21966.328999999998,5725.209,10.333333333333334
"Canon Wireless Fax, Laser",21928.95792,7991.54792,5.929411764705883
"Sharp Copy Machine, Color",21914.04312,1633.2331199999999,14.060606060606059
"Memorex Router, Erganomic",21888.594,7468.184,7.6
HON 5400 Series Task Chairs for Big and Tall,21870.576,8.526512829121202e-14,20.0
"KitchenAid Refrigerator, Black",21870.0339,3443.1639000000005,13.4
"Ikea Classic Bookcase, Mobile",21804.411,5348.081,5.625
"Safco Classic Bookcase, Pine",21799.2,-1273.49,11.76470588235294
"Hewlett Wireless Fax, Laser",21542.57924,1757.62924,11.579999999999998
"Dania Library with Doors, Traditional",21495.152,3263.712,11.833333333333334
"Sharp Wireless Fax, Color",21430.64096,3882.93096,11.552380952380952
"Hamilton Beach Stove, White",21330.944,635.5039999999999,14.545454545454545
