Year_Month,Sales,Profit,Orders,Profit_Margin_%,Previous_Month_Sales,MoM_Change,MoM_Growth_%,Sales_Share_%
2011-01,98898.49,8321.8,216,8.41,,,,0.78
2011-02,91152.16,12417.91,183,13.62,98898.49,-7746.33,-7.83,0.72
2011-03,145729.37,15303.57,277,10.5,91152.16,54577.21,59.87,1.15
2011-04,116915.76,12902.32,267,11.04,145729.37,-28813.6,-19.77,0.92
2011-05,146747.84,12183.83,295,8.3,116915.76,29832.07,25.52,1.16
2011-06,215207.38,23415.25,468,10.88,146747.84,68459.54,46.65,1.7
2011-07,115510.42,5585.0,250,4.84,215207.38,-99696.96,-46.33,0.91
2011-08,207581.49,23713.67,443,11.42,115510.42,92071.07,79.71,1.64
2011-09,290214.46,35776.88,527,12.33,207581.49,82632.96,39.81,2.3
2011-10,199071.26,25963.42,401,13.04,290214.46,-91143.19,-31.41,1.57
2011-11,298496.54,32709.18,563,10.96,199071.26,99425.27,49.94,2.36
2011-12,333925.73,40647.98,620,12.17,298496.54,35429.2,11.87,2.64
2012-01,135780.72,10401.64,260,7.66,333925.73,-198145.01,-59.34,1.07
2012-02,100510.22,15000.1,230,14.92,135780.72,-35270.5,-25.98,0.8
2012-03,163076.77,17992.92,337,11.03,100510.22,62566.55,62.25,1.29
2012-04,161052.27,17366.97,322,10.78,163076.77,-2024.5,-1.24,1.27
2012-05,208364.89,29876.7,413,14.34,161052.27,47312.62,29.38,1.65
2012-06,256175.7,34407.15,571,13.43,208364.89,47810.81,22.95,2.03
2012-07,145236.79,15585.39,324,10.73,256175.7,-110938.91,-43.31,1.15
2012-08,303142.94,43573.88,522,14.37,145236.79,157906.16,108.72,2.4
2012-09,289389.17,27776.18,641,9.6,303142.94,-13753.78,-4.54,2.29
2012-10,252939.85,30662.88,499,12.12,289389.17,-36449.32,-12.6,2.0
2012-11,323512.42,31820.72,716,9.84,252939.85,70572.57,27.9,2.56
2012-12,338256.97,32950.75,628,9.74,323512.42,14744.55,4.56,2.68
2013-01,199185.91,26810.56,345,13.46,338256.97,-139071.06,-41.11,1.58
2013-02,167239.65,23762.5,306,14.21,199185.91,-31946.26,-16.04,1.32
2013-03,198594.03,23433.77,411,11.8,167239.65,31354.38,18.75,1.57
2013-04,177821.32,19462.04,394,10.94,198594.03,-20772.71,-10.46,1.41
2013-05,260498.56,28495.69,522,10.94,177821.32,82677.25,46.49,2.06
2013-06,396519.61,45478.41,724,11.47,260498.56,136021.05,52.22,3.14
2013-07,229928.95,28863.83,447,12.55,396519.61,-166590.66,-42.01,1.82
2013-08,326488.79,31023.67,692,9.5,229928.95,96559.84,42.0,2.58
2013-09,376619.25,38905.67,836,10.33,326488.79,50130.46,15.35,2.98
2013-10,293406.64,42433.22,580,14.46,376619.25,-83212.6,-22.09,2.32
2013-11,373989.36,48063.0,789,12.85,293406.64,80582.72,27.46,2.96
2013-12,405454.38,50202.87,825,12.38,373989.36,31465.02,8.41,3.21
2014-01,241268.56,28001.39,450,11.61,405454.38,-164185.82,-40.49,1.91
2014-02,184837.36,19751.7,385,10.69,241268.56,-56431.2,-23.39,1.46
2014-03,263100.77,37357.26,530,14.2,184837.36,78263.42,42.34,2.08
2014-04,242771.86,23782.3,523,9.8,263100.77,-20328.91,-7.73,1.92
2014-05,288401.05,33953.56,667,11.77,242771.86,45629.18,18.8,2.28
2014-06,401814.06,43778.6,899,10.9,288401.05,113413.02,39.32,3.18
2014-07,258705.68,28035.87,540,10.84,401814.06,-143108.38,-35.62,2.05
2014-08,456619.94,53542.89,843,11.73,258705.68,197914.26,76.5,3.61
2014-09,481157.24,67979.45,1017,14.13,456619.94,24537.3,5.37,3.81
2014-10,422766.63,58209.83,810,13.77,481157.24,-58390.61,-12.14,3.34
2014-11,555279.03,62856.59,1077,11.32,422766.63,132512.4,31.34,4.39
2014-12,503143.69,46916.52,1093,9.32,555279.03,-52135.33,-9.39,3.98
