Product_Name,Sales,Profit,Quantity
"Apple Smart Phone, Full Size",86935.7786,5921.578600000001,171
"Cisco Smart Phone, Full Size",76441.5306,17238.5206,139
"Motorola Smart Phone, Full Size",73156.303,17027.113,134
"Nokia Smart Phone, Full Size",71904.5555,9938.195500000002,147
Canon imageCLASS 2200 Advanced Copier,61599.824,25199.928,20
"Hon Executive Leather Armchair, Adjustable",58193.4841,5997.2541,169
"Office Star Executive Leather Armchair, Adjustable",50661.684,4710.9839999999995,141
"Harbour Creations Executive Leather Armchair, Adjustable",50121.516,10427.326,142
"Samsung Smart Phone, Cordless",48653.46,-198.08999999999992,108
"Nokia Smart Phone, with Caller ID",47877.7857,9465.3257,96
"Samsung Smart Phone, VoIP",45406.328,3903.8579999999997,97
"Cisco Smart Phone, with Caller ID",43127.5008,9786.640800000001,85
"SAFCO Executive Leather Armchair, Black",41923.53,7154.28,111
"Cisco Smart Phone, Cordless",41021.524,4020.8239999999996,89
"Novimex Executive Leather Armchair, Adjustable",40585.1336,5562.3535999999995,124
"Sauder Classic Bookcase, Traditional",39108.303,10672.073,113
"Motorola Smart Phone, Cordless",38931.042,-4447.0380000000005,74
"Novimex Executive Leather Armchair, Red",38814.802,1450.3719999999998,118
"Eldon File Cart, Single Width",34387.7287,4238.8887,321
"Hoover Stove, White",32842.6043,-2180.6257000000005,81
"Harbour Creations Executive Leather Armchair, Black",32230.7392,3240.1492,100
"Hoover Stove, Red",31663.779,11807.969,62
"Motorola Smart Phone, with Caller ID",30243.549,3943.8089999999997,53
"Hewlett Copy Machine, Color",29709.1932,2103.4432,152
"Rogers File Cart, Single Width",29466.3053,2394.8953,262
"Office Star Executive Leather Armchair, Black",29421.602300000002,1898.2523,89
"Hon Executive Leather Armchair, Black",29244.7696,438.91959999999995,86
"Smead Lockers, Industrial",28991.664,3630.444,187
"Hamilton Beach Stove, Silver",28657.049,5989.749,66
"Novimex Executive Leather Armchair, Black",28629.5075,2291.2175,80
"Bush Library with Doors, Metal",28516.7142,719.3542,88
"Rogers Lockers, Blue",28214.5892,-2893.4908,167
"Safco Classic Bookcase, Mobile",27696.1095,1451.1095000000003,85
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,27453.384,7753.039,31
"Safco Library with Doors, Pine",27263.7618,3360.8318,89
"Apple Smart Phone, Cordless",27163.646999999997,5450.217,52
"Canon Wireless Fax, Color",26585.7144,2615.2344,97
"Bush Classic Bookcase, Traditional",26535.324,2821.614,79
"Samsung Smart Phone, with Caller ID",26311.164,6392.614,50
"Safco Classic Bookcase, Traditional",26230.579999999998,2073.48,80
"Brother Copy Machine, Color",26226.93006,6520.05006,125
"Nokia Smart Phone, Cordless",25658.05,5639.89,46
"SAFCO Executive Leather Armchair, Red",25640.127,-1833.1729999999998,76
"Dania Classic Bookcase, Pine",25630.494599999998,6565.0146,88
"Smead File Cart, Single Width",25397.1708,-237.66920000000002,250
"Safco Classic Bookcase, Metal",25276.353600000002,5416.1536,75
"Office Star Executive Leather Armchair, Red",25213.988,4677.078,68
"Ikea Classic Bookcase, Metal",25055.0253,735.5253000000001,80
"Smead Lockers, Blue",24776.044,610.2640000000001,158
"SAFCO Executive Leather Armchair, Adjustable",24210.4384,-862.1816000000002,72
"Sauder Classic Bookcase, Pine",24075.567,4267.767,73
"Brother Wireless Fax, Laser",23905.18386,4000.64386,86
"Hewlett Wireless Fax, High-Speed",23810.56914,8677.93914,75
"Bush Classic Bookcase, Metal",23540.063000000002,5871.783,72
"Harbour Creations Executive Leather Armchair, Red",23517.0012,5252.4412,68
"Belkin Router, USB",23470.408,8955.018,110
"Hewlett Wireless Fax, Color",23265.94574,5054.20574,74
"Sauder Classic Bookcase, Metal",23194.97,4043.45,69
"Okidata Inkjet, Wireless",23004.301199999998,3314.9512,88
"Ikea Classic Bookcase, Traditional",22751.9325,5367.1725,62
Cisco TelePresence System EX90 Videoconferencing Unit,22638.48,-1811.0784,6
"Fellowes Lockers, Industrial",22637.436,3339.036,142
"Ikea Library with Doors, Pine",22536.0688,-277.95119999999986,94
"Brother Fax Machine, High-Speed",22431.5268,4160.9268,84
"Canon Fax Machine, High-Speed",22340.48994,2011.5899399999998,82
"HP Copy Machine, Color",22297.32146,6099.5014599999995,110
"Tenex File Cart, Single Width",22113.8622,3952.6122,207
"Fellowes Lockers, Single Width",22090.752,588.7019999999999,132
"Hewlett Wireless Fax, Digital",22045.3332,5883.1932,66
"KitchenAid Stove, Silver",21966.328999999998,5725.209,46
"Canon Wireless Fax, Laser",21928.95792,7991.54792,66
"Sharp Copy Machine, Color",21914.04312,1633.2331199999999,120
"Memorex Router, Erganomic",21888.594,7468.184,111
HON 5400 Series Task Chairs for Big and Tall,21870.576,8.526512829121202e-14,39
"KitchenAid Refrigerator, Black",21870.0339,3443.1639000000005,52
"Ikea Classic Bookcase, Mobile",21804.411,5348.081,65
"Safco Classic Bookcase, Pine",21799.2,-1273.49,60
"Hewlett Wireless Fax, Laser",21542.57924,1757.62924,73
"Dania Library with Doors, Traditional",21495.152,3263.712,76
"Sharp Wireless Fax, Color",21430.64096,3882.93096,69
"Hamilton Beach Stove, White",21330.944,635.5039999999999,51
