Product_Name,Sales,Profit,Quantity,Profit_Margin_%,Category
"Apple Smart Phone, Full Size",86935.7786,5921.578600000001,171,6.8114402325028465,High Value
"Cisco Smart Phone, Full Size",76441.5306,17238.5206,139,22.55124990916914,High Value
"Motorola Smart Phone, Full Size",73156.303,17027.113,134,23.27497741377117,High Value
"Nokia Smart Phone, Full Size",71904.5555,9938.195500000002,147,13.82137116472405,High Value
Canon imageCLASS 2200 Advanced Copier,61599.824,25199.928,20,40.90909090909091,High Value
"Hon Executive Leather Armchair, Adjustable",58193.4841,5997.2541,169,10.305714106572973,High Value
"Office Star Executive Leather Armchair, Adjustable",50661.684,4710.9839999999995,141,9.29890921115058,High Value
"Harbour Creations Executive Leather Armchair, Adjustable",50121.516,10427.326,142,20.80409140058732,High Value
"Samsung Smart Phone, Cordless",48653.46,-198.08999999999992,108,-0.407144733385868,Needs Attention
"Nokia Smart Phone, with Caller ID",47877.7857,9465.3257,96,19.769764958031462,High Value
"Samsung Smart Phone, VoIP",45406.328,3903.8579999999997,97,8.597607804797605,High Value
"Cisco Smart Phone, with Caller ID",43127.5008,9786.640800000001,85,22.69234390693003,High Value
"SAFCO Executive Leather Armchair, Black",41923.53,7154.28,111,17.065070617860663,High Value
"Cisco Smart Phone, Cordless",41021.524,4020.8239999999996,89,9.801742129327033,High Value
"Novimex Executive Leather Armchair, Adjustable",40585.1336,5562.3535999999995,124,13.705396795835604,High Value
"Sauder Classic Bookcase, Traditional",39108.303,10672.073,113,27.288509552562278,High Value
"Motorola Smart Phone, Cordless",38931.042,-4447.0380000000005,74,-11.422858910377997,Needs Attention
"Novimex Executive Leather Armchair, Red",38814.802,1450.3719999999998,118,3.7366466535112037,High Value
"Eldon File Cart, Single Width",34387.7287,4238.8887,321,12.326748116981626,High Value
"Hoover Stove, White",32842.6043,-2180.6257000000005,81,-6.639624799790925,Needs Attention
"Harbour Creations Executive Leather Armchair, Black",32230.7392,3240.1492,100,10.052978245066125,High Value
"Hoover Stove, Red",31663.779,11807.969,62,37.29172377055815,High Value
"Motorola Smart Phone, with Caller ID",30243.549,3943.8089999999997,53,13.040166020198225,High Value
"Hewlett Copy Machine, Color",29709.1932,2103.4432,152,7.080108792722113,High Value
"Rogers File Cart, Single Width",29466.3053,2394.8953,262,8.127572410647629,High Value
"Office Star Executive Leather Armchair, Black",29421.602300000002,1898.2523,89,6.45189980016826,High Value
