Region,Total_Sales,Total_Profit,Avg_Discount_%,Orders,Profit_Margin_%
Central,2822302.51994,311403.98164,13.885130880633264,5249,11.033685419613352
South,1600907.04088,140355.76618,14.905011286681717,3270,8.76726521877548
North,1248165.60252,194597.95252,9.605642633228841,2356,15.590715857504323
Oceania,1100184.612,120089.112,15.316891310582163,1744,10.915360085039982
Southeast Asia,884423.169,17852.328999999998,27.207734100351548,1517,2.0185279655422503
North Asia,848309.781,165578.421,4.871685201026519,1150,19.518626887080536
EMEA,806161.311,43897.971,19.608272022270828,2462,5.445308575469457
Africa,783773.211,88871.63100000001,15.67037279267495,2232,11.338947255751512
Central Asia,752826.567,132480.187,6.748046874999999,1026,17.59770348274651
West,725457.8245,108418.4489,10.933499843896346,1611,14.944831420727203
East,678781.24,91522.78,14.536516853932586,1401,13.483398568882073
Caribbean,324280.86104,34571.32104,13.575147928994083,855,10.660919342919728
Canada,66928.17,17817.39,0.0,201,26.621660206755987
