Region,Sub_Category,Sales,Profit,Quantity,Orders,Profit_Margin_%
Central,Phones,370198.044,47368.0687,2661,676,12.795331976416385
Central,Chairs,328571.437,37088.6231,2719,665,11.287841523485804
Central,Copiers,322961.87864,44751.15994,1614,417,13.856483659448655
Central,Bookcases,315419.4148,29459.3237,1894,483,9.339730630937687
Central,Storage,292402.309,30464.3135,4377,1057,10.418629594337437
Central,Appliances,214858.139,19681.1685,1518,395,9.160075848930257
South,Phones,190235.286,4606.9633,1668,407,2.4217185974635647
South,Bookcases,186548.963,28962.3028,1209,316,15.525308923856093
North,Phones,180421.214,33028.814,1063,262,18.306502471488745
South,Copiers,179158.15788,27700.84858,1074,294,15.461673031129292
North,Copiers,175889.89352,36881.84352,965,249,20.968711039560812
Central,Accessories,174093.406,32534.9506,2577,633,18.68821533654181
Central,Machines,171196.332,10884.2414,1127,289,6.357753856548749
Oceania,Chairs,170284.206,15028.326000000001,1119,286,8.825437398463132
South,Chairs,164270.016,9303.5893,1684,402,5.663595540162363
Oceania,Copiers,163207.545,21596.535,808,207,13.232559193265237
North,Bookcases,159670.628,20265.558,1009,253,12.692101392624322
South,Appliances,148318.529,28718.9626,877,233,19.3630308995311
Oceania,Bookcases,144835.617,13388.697,700,184,9.244063910053285
South,Storage,139968.456,151.14250000000013,2428,578,0.10798325874224128
Central,Tables,133129.9845,-21550.1069,624,161,-16.187267639920744
Central Asia,Phones,132714.81,23108.04,617,140,17.41180204379602
Central,Binders,130254.435,12967.516099999999,5538,1222,9.955527502767946
North Asia,Bookcases,130066.917,25656.807,566,130,19.72585157838407
North Asia,Chairs,129337.149,26508.849000000002,782,187,20.495928049256754
Oceania,Phones,126333.555,21477.075,815,205,17.000293389986535
Southeast Asia,Phones,124433.9112,13452.0912,715,179,10.810631177845673
North,Chairs,123578.694,9968.974,1319,312,8.066903506845605
North Asia,Copiers,123036.9,30090.27,524,135,24.456297257164316
Southeast Asia,Chairs,122680.7652,3229.6751999999997,1030,249,2.632584818602028
Central Asia,Bookcases,120160.662,21943.692,506,117,18.26195997488762
Southeast Asia,Copiers,116944.0752,11355.5352,629,172,9.710227029953886
Africa,Phones,114832.854,17694.564,614,248,15.408973463291261
EMEA,Phones,114520.605,2990.9249999999993,737,273,2.6116915816153776
North,Storage,112377.78600000001,15170.986,1816,444,13.499986554282179
Central,Art,112192.11,22381.2491,4520,1034,19.94904017760251
Southeast Asia,Bookcases,109759.8825,6667.3125,589,156,6.0744530224875195
North,Appliances,107380.538,19974.088,532,134,18.601218034500814
South,Tables,104892.468,-27012.3219,483,128,-25.752394251987663
North Asia,Phones,102872.22,23276.85,484,122,22.62695409897832
South,Accessories,102378.008,22701.4664,1520,376,22.174163029231824
West,Chairs,101781.328,4027.5843,734,191,3.9570954507490805
Oceania,Appliances,101549.721,12443.811,444,99,12.253909589766376
East,Phones,100614.982,12314.686,982,247,12.239415795949752
West,Phones,98684.352,9110.7426,1068,256,9.232205932709576
South,Machines,98224.634,-4801.139,477,134,-4.887917424054743
EMEA,Storage,98184.63,3452.5200000000004,1452,564,3.5163548510596825
Africa,Storage,96674.115,11915.085000000001,1286,522,12.325000337473996
East,Chairs,96260.683,9357.7706,676,157,9.721280078596575
Africa,Copiers,96257.682,14008.632,454,196,14.553261317886296
Southeast Asia,Appliances,94542.363,10556.673,387,103,11.16607694690263
EMEA,Bookcases,91736.916,7938.246,500,208,8.653273236261834
Central Asia,Copiers,91405.155,17811.704999999998,424,109,19.48654318238397
Central Asia,Chairs,90672.078,17435.238,663,171,19.228894257833158
West,Tables,84754.562,1482.6073000000001,481,114,1.749294981903157
Africa,Bookcases,83457.408,7164.918000000001,407,190,8.585119250288724
Central,Furnishings,83296.747,9553.0002,2398,621,11.468635383804363
EMEA,Copiers,80140.419,8178.309,408,181,10.204974096778805
North,Tables,71649.107,7012.057,241,67,9.786663496029336
East,Storage,71612.584,8389.3712,907,223,11.714939932903413
West,Storage,70532.852,8645.3222,1039,247,12.257156707628951
North,Machines,70209.205,13238.335,480,123,18.855554624212022
EMEA,Chairs,69816.54,-609.5699999999999,568,236,-0.8731025628024534
North,Accessories,69281.919,16123.499,1003,233,23.272304278985114
Africa,Machines,69104.415,5948.115,479,193,8.60743123286696
EMEA,Appliances,68270.178,3024.0480000000007,323,146,4.429529977203225
Oceania,Tables,66830.991,-229.71899999999988,181,51,-0.343731248875241
Oceania,Accessories,66543.42,7702.47,916,238,11.575103894569892
South,Binders,66406.997,8594.01,2987,679,12.941422422700427
East,Machines,66106.165,6928.642900000001,165,36,10.481084328519135
Oceania,Storage,65160.837,7706.187,882,223,11.8264088596652
Southeast Asia,Storage,63547.8294,2418.1494,981,230,3.8052431103177846
Africa,Appliances,62186.376,3670.2659999999996,313,138,5.90204195208288
EMEA,Machines,62029.416,2741.826,549,227,4.420202827639067
West,Accessories,61114.116,16484.5983,1032,236,26.97347090809593
South,Furnishings,60038.169,11398.0579,1687,404,18.98468605863047
Africa,Chairs,56038.374,2784.084,437,175,4.968174130105916
West,Binders,55961.113,16096.8016,1868,403,28.7642627836941
North Asia,Appliances,55909.35,12859.23,257,66,23.000142194463002
Central Asia,Appliances,55619.295,6268.995,222,54,11.271259371410586
North Asia,Tables,54300.432,-5470.578,167,40,-10.074649129863277
North Asia,Storage,53736.78,8481.960000000001,690,163,15.784272894654277
East,Binders,53497.996999999996,11267.9346,1652,384,21.062348558582485
East,Copiers,53219.462,17022.8418,71,20,31.98612154328054
Southeast Asia,Tables,52455.4149,-18618.3051,224,55,-35.493580854319006
Oceania,Machines,51918.462,3957.942,367,102,7.6233806771857
Central,Paper,51823.37,13199.0585,2829,683,25.469317221168748
Southeast Asia,Machines,51593.1531,4782.7431,427,102,9.270112045158177
Central Asia,Tables,51511.974,4189.853999999999,112,35,8.133747699127197
Central,Supplies,50603.544,7133.9939,1743,435,14.097814769653288
Caribbean,Copiers,50000.33304,7178.99304,366,104,14.357890444963326
West,Copiers,49749.242,19327.2351,88,25,38.84930568389364
South,Art,49614.423,8962.2476,2297,542,18.063794876743806
North Asia,Machines,48832.68,10307.91,343,79,21.108630531848753
Caribbean,Chairs,45187.123999999996,5416.384,581,148,11.986565022372304
East,Accessories,45033.372,11195.8644,724,191,24.861261555097407
EMEA,Accessories,44164.143000000004,3583.383,565,232,8.113783618534157
East,Bookcases,43819.334,-1167.6318,252,68,-2.6646498096023095
North,Art,43803.401,7691.121,1778,424,17.55827361441638
Central Asia,Accessories,43614.825,8026.185,497,120,18.402423946444816
West,Machines,42444.122,-618.9263999999998,147,39,-1.458214638059894
Africa,Accessories,42172.092,6478.182,484,210,15.36130102343512
Caribbean,Phones,40876.696,5608.316,400,100,13.72008148603791
Caribbean,Bookcases,39358.356,1949.176,340,87,4.952381649274172
EMEA,Tables,39333.921,2764.2509999999997,102,45,7.027651781778886
North Asia,Accessories,39296.745,8795.985,511,128,22.38349512154251
East,Tables,39139.807,-11025.3801,271,76,-28.169224493110047
Africa,Art,38435.793,3977.2529999999997,1497,549,10.34778442063105
EMEA,Art,38136.981,1452.3809999999999,1590,616,3.808327145769614
Central Asia,Machines,37962.525,7494.045,220,59,19.740638959078723
Central,Envelopes,37333.056,8156.0723,1801,463,21.84678452254217
Southeast Asia,Accessories,36780.2445,-8641.5255,696,175,-23.49501918074525
South,Paper,36270.556,9549.5234,2009,466,26.32858288690143
