Region A,Region B,U Statistic,Raw P,Adjusted P,Significant
Africa,Canada,818373.5,0.021,0.0237,Yes
Africa,Caribbean,3304319.0,0.0,0.0,Yes
Africa,Central,20571410.0,0.0,0.0,Yes
Africa,Central Asia,3061681.5,0.0,0.0,Yes
Africa,EMEA,11695272.0,0.2356,0.245,No
Africa,East,6496101.5,0.6908,0.6908,No
Africa,North,8407520.0,0.0,0.0,Yes
Africa,North Asia,3429705.0,0.0,0.0,Yes
Africa,Oceania,5650408.5,0.0,0.0,Yes
Africa,South,12743426.0,0.0,0.0,Yes
Africa,Southeast Asia,5392164.0,0.0,0.0,Yes
Africa,West,7080607.5,0.0066,0.0077,Yes
Canada,Caribbean,297943.5,0.0122,0.014,Yes
Canada,Central,1852173.5,0.0,0.0,Yes
Canada,Central Asia,277636.5,0.0,0.0,Yes
Canada,EMEA,1048328.0,0.0051,0.006,Yes
Canada,East,579156.5,0.0596,0.0655,No
Canada,North,760733.5,0.0,0.0,Yes
Canada,North Asia,311215.5,0.0,0.0,Yes
Canada,Oceania,511132.0,0.0,0.0,Yes
Canada,South,1146549.0,0.0008,0.001,Yes
Canada,Southeast Asia,487197.5,0.0,0.0,Yes
Canada,West,632666.0,0.3563,0.3657,No
Caribbean,Central,8850997.0,0.0001,0.0001,Yes
Caribbean,Central Asia,1347301.5,0.0,0.0,Yes
Caribbean,EMEA,4940754.0,0.0,0.0,Yes
Caribbean,East,2716558.5,0.0,0.0,Yes
Caribbean,North,3665300.5,0.0,0.0,Yes
Caribbean,North Asia,1508286.5,0.0,0.0,Yes
Caribbean,Oceania,2472098.5,0.0,0.0,Yes
Caribbean,South,5471031.0,0.103,0.1103,No
Caribbean,Southeast Asia,2342609.5,0.0,0.0,Yes
Caribbean,West,2975963.5,0.0,0.0,Yes
Central,Central Asia,9603383.0,0.0,0.0,Yes
Central,EMEA,33745398.5,0.0,0.0,Yes
Central,East,18531326.5,0.0,0.0,Yes
Central,North,25742760.5,0.0013,0.0016,Yes
Central,North Asia,10772414.5,0.0,0.0,Yes
Central,Oceania,17487347.5,0.0,0.0,Yes
Central,South,38078268.0,0.0006,0.0008,Yes
Central,Southeast Asia,16465400.5,0.0,0.0,Yes
Central,West,20362839.5,0.0,0.0,Yes
Central Asia,EMEA,7012772.0,0.0,0.0,Yes
Central Asia,East,3833161.0,0.0,0.0,Yes
Central Asia,North,5540899.5,0.0,0.0,Yes
Central Asia,North Asia,2357236.0,0.3781,0.383,No
Central Asia,Oceania,3789409.0,0.0001,0.0001,Yes
Central Asia,South,8083338.5,0.0,0.0,Yes
Central Asia,Southeast Asia,3543114.5,0.0,0.0,Yes
Central Asia,West,4230960.5,0.0,0.0,Yes
EMEA,East,7031379.0,0.1803,0.19,No
EMEA,North,9042513.5,0.0,0.0,Yes
EMEA,North Asia,3677316.5,0.0,0.0,Yes
EMEA,Oceania,6066843.5,0.0,0.0,Yes
EMEA,South,13741408.5,0.0,0.0,Yes
EMEA,Southeast Asia,5794879.0,0.0,0.0,Yes
EMEA,West,7656129.5,0.0002,0.0003,Yes
East,North,5384120.5,0.0,0.0,Yes
East,North Asia,2242521.5,0.0,0.0,Yes
East,Oceania,3652601.0,0.0,0.0,Yes
East,South,8104725.0,0.0,0.0,Yes
East,Southeast Asia,3457042.0,0.0,0.0,Yes
East,West,4431389.0,0.0559,0.0623,No
North,North Asia,4779537.5,0.0,0.0,Yes
North,Oceania,7769893.5,0.0,0.0,Yes
North,South,16918941.5,0.0,0.0,Yes
North,Southeast Asia,7324179.0,0.1032,0.1103,No
North,West,9058383.0,0.0,0.0,Yes
North Asia,Oceania,4387866.5,0.0,0.0,Yes
North Asia,South,9341568.5,0.0,0.0,Yes
North Asia,Southeast Asia,4098327.5,0.0,0.0,Yes
North Asia,West,4878756.0,0.0,0.0,Yes
Oceania,South,13085732.5,0.0,0.0,Yes
Oceania,Southeast Asia,5703447.5,0.0014,0.0017,Yes
Oceania,West,6919067.5,0.0,0.0,Yes
South,Southeast Asia,9515530.5,0.0,0.0,Yes
South,West,11871853.0,0.0,0.0,Yes
Southeast Asia,West,6002913.5,0.0,0.0,Yes
