Category,Sub_Category,Sales,Profit,Orders,Customers,Quantity,Avg_Discount,Profit_Margin_%
Technology,Phones,1706824.1392,216717.0058,3133,1163,11870,14.58,12.7
Technology,Copiers,1509436.27328,258567.54818,2120,1019,7454,11.71,17.13
Furniture,Chairs,1501681.7642,140396.2675,3187,1092,12336,16.31,9.35
Furniture,Bookcases,1466572.2418,161924.4195,2284,1044,8310,15.38,11.04
Office Supplies,Storage,1127085.8614,108461.4898,4534,1398,16917,13.85,9.62
Office Supplies,Appliances,1011064.305,141680.5894,1686,909,6078,14.17,14.01
Technology,Machines,779060.0671,58867.873,1422,908,4906,16.96,7.56
Furniture,Tables,757041.9244,-64083.3887,836,563,3083,29.07,-8.46
Technology,Accessories,749237.0185,129626.3062,2889,1113,10946,12.05,17.3
Office Supplies,Binders,461911.5057,72449.846,5392,1408,21429,17.92,15.68
Furniture,Furnishings,385578.2559,46967.4255,2965,1114,11225,15.11,12.18
Office Supplies,Art,372091.9659,57953.9109,4366,1396,16301,11.74,15.58
Office Supplies,Paper,244291.7194,59207.6827,3234,1098,12822,10.95,24.24
Office Supplies,Supplies,243074.2206,22583.2631,2281,1053,8543,12.79,9.29
Office Supplies,Envelopes,170904.3016,29601.1163,2310,1046,8380,13.17,17.32
Office Supplies,Fasteners,83242.3159,11525.4241,2304,1045,8390,14.06,13.85
Office Supplies,Labels,73404.03,15010.512,2460,1079,9322,12.04,20.45
