State,Sales,Profit,Profit_Margin_%,Orders,Quantity,Sales_Share_%
England,485170.971,99907.731,20.59227302781064,699,5656,17.49743537093602
California,457687.6315,76381.3871,16.688540795754495,1021,7667,16.50626321632922
Ile-de-France,317822.544,44055.924,13.861799558183638,468,3839,11.462102548312746
New York,310876.271,74038.5486,23.816082315269405,562,4224,11.211588873440846
New South Wales,270487.104,43695.984000000004,16.1545535272543,388,2921,9.754974851765501
Queensland,238312.734,21608.754,9.067393771748682,374,2665,8.594623154475716
North Rhine-Westphalia,216451.851,42347.871,19.564568657812032,336,2660,7.806221930355295
Texas,170188.0458,-25729.3563,-15.118192455324614,487,3724,6.137742178089627
San Salvador,153639.397,35883.377,23.355583073526383,307,2273,5.5409238807015955
National Capital,152175.3555,-13066.0845,-8.5862027113845,281,2231,5.488123995593428
